0,q1_22-10_50GB_pyarr,q2_22-10_50GB_pyarr,q3_22-10_50GB_pyarr_p2p,q7_22-10_50GB_pyarr_p2p,q9_22-10_50GB_pyarr
0 days 00:00:16.000137728,2665738240.0,3462414336.0,9785749504.0,10567208960.0,3400892416.0
0 days 00:00:16.000183040,2665738240.0,3462414336.0,9785749504.0,10567208960.0,3819872256.0
0 days 00:00:16.000504064,2665738240.0,3254870016.0,9785749504.0,10567208960.0,3819872256.0
0 days 00:00:16.000846080,2665738240.0,3254870016.0,9785749504.0,10396536832.0,3819872256.0
0 days 00:00:16.001085952,3057950720.0,3254870016.0,9785749504.0,10396536832.0,3819872256.0
0 days 00:00:16.500378112,3057950720.0,3254870016.0,9785749504.0,10510143488.0,3819872256.0
0 days 00:00:16.500385024,3057950720.0,3254870016.0,9785749504.0,10510143488.0,3551485952.0
0 days 00:00:16.500394752,3057950720.0,3254870016.0,10049404928.0,10510143488.0,3551485952.0
0 days 00:00:16.500593152,2871234560.0,3254870016.0,10049404928.0,10510143488.0,3551485952.0
0 days 00:00:16.500675328,2871234560.0,3315736576.0,10049404928.0,10510143488.0,3551485952.0
0 days 00:00:17.000006912,2871234560.0,3315736576.0,10049404928.0,10510143488.0,3498831872.0
0 days 00:00:17.000158720,2871234560.0,3315736576.0,10998480896.0,10510143488.0,3498831872.0
0 days 00:00:17.000812032,2717351936.0,3315736576.0,10998480896.0,10510143488.0,3498831872.0
0 days 00:00:17.000925184,2717351936.0,3315736576.0,10998480896.0,10479693824.0,3498831872.0
0 days 00:00:17.001068288,2717351936.0,3517988864.0,10998480896.0,10479693824.0,3498831872.0
0 days 00:00:17.500158208,2618875904.0,3517988864.0,10998480896.0,10479693824.0,3498831872.0
0 days 00:00:17.500217344,2618875904.0,3579809792.0,10998480896.0,10479693824.0,3498831872.0
0 days 00:00:17.500430080,2618875904.0,3579809792.0,10998480896.0,10696937472.0,3498831872.0
0 days 00:00:17.500474880,2618875904.0,3579809792.0,11331121152.0,10696937472.0,3498831872.0
0 days 00:00:17.501225984,2618875904.0,3579809792.0,11331121152.0,10696937472.0,3654434816.0
0 days 00:00:18.000422144,2618875904.0,2931068928.0,11331121152.0,10696937472.0,3654434816.0
0 days 00:00:18.000521216,2574123008.0,2931068928.0,11331121152.0,10696937472.0,3654434816.0
0 days 00:00:18.000523776,2574123008.0,2931068928.0,11540099072.0,10696937472.0,3654434816.0
0 days 00:00:18.000915200,2574123008.0,2931068928.0,11540099072.0,10969890816.0,3654434816.0
0 days 00:00:18.001069056,2574123008.0,2931068928.0,11540099072.0,10969890816.0,3882893312.0
0 days 00:00:18.500491776,2574123008.0,2931068928.0,11523076096.0,10969890816.0,3882893312.0
0 days 00:00:18.500545792,2574123008.0,2931068928.0,11523076096.0,10969890816.0,4150861824.0
0 days 00:00:18.500662272,2574123008.0,2931068928.0,11523076096.0,10923192320.0,4150861824.0
0 days 00:00:18.500818176,2574123008.0,3634470912.0,11523076096.0,10923192320.0,4150861824.0
0 days 00:00:18.501048064,2750717952.0,3634470912.0,11523076096.0,10923192320.0,4150861824.0
0 days 00:00:19.000060160,2585104384.0,3634470912.0,11523076096.0,10923192320.0,4150861824.0
0 days 00:00:19.000137216,2585104384.0,3634470912.0,11523076096.0,11553624064.0,4150861824.0
0 days 00:00:19.000164864,2585104384.0,3634470912.0,11523076096.0,11553624064.0,3982368768.0
0 days 00:00:19.000794368,2585104384.0,4142424064.0,11523076096.0,11553624064.0,3982368768.0
0 days 00:00:19.000829696,2585104384.0,4142424064.0,11770105856.0,11553624064.0,3982368768.0
